algoritmo,versao,dataset,tamanho,threads,amostra,tempo_ms,speedup,eficiencia,obs
Insertion,serial,random,10000,1,1,6.128,,,
Insertion,serial,random,10000,1,2,5.916,,,
Insertion,serial,random,10000,1,3,5.956,,,
Insertion,serial,random,10000,1,4,6.000,,,
Insertion,serial,random,10000,1,5,5.991,,,
Insertion,serial-summary,random,10000,1,0,5.991,,,median
Insertion,parallel-summary,random,10000,1,0,5.991,1.000,1.000,median-serial-as-threads1
Insertion,parallel,random,10000,2,1,4.364,1.373,0.686,
Insertion,parallel,random,10000,2,2,4.783,1.253,0.626,
Insertion,parallel,random,10000,2,3,3.527,1.699,0.849,
Insertion,parallel,random,10000,2,4,4.761,1.258,0.629,
Insertion,parallel,random,10000,2,5,4.053,1.478,0.739,
Insertion,parallel-summary,random,10000,2,0,4.364,1.373,0.686,median
Insertion,parallel,random,10000,4,1,1.952,3.069,0.767,
Insertion,parallel,random,10000,4,2,2.359,2.540,0.635,
Insertion,parallel,random,10000,4,3,2.002,2.993,0.748,
Insertion,parallel,random,10000,4,4,2.118,2.828,0.707,
Insertion,parallel,random,10000,4,5,2.119,2.827,0.707,
Insertion,parallel-summary,random,10000,4,0,2.118,2.828,0.707,median
Insertion,parallel,random,10000,8,1,1.491,4.018,0.502,
Insertion,parallel,random,10000,8,2,1.763,3.398,0.425,
Insertion,parallel,random,10000,8,3,1.523,3.934,0.492,
Insertion,parallel,random,10000,8,4,1.403,4.269,0.534,
Insertion,parallel,random,10000,8,5,1.625,3.686,0.461,
Insertion,parallel-summary,random,10000,8,0,1.523,3.934,0.492,median
Insertion,serial,random,50000,1,1,148.088,,,
Insertion,serial,random,50000,1,2,148.262,,,
Insertion,serial,random,50000,1,3,154.290,,,
Insertion,serial,random,50000,1,4,153.413,,,
Insertion,serial,random,50000,1,5,149.954,,,
Insertion,serial-summary,random,50000,1,0,149.954,,,median
Insertion,parallel-summary,random,50000,1,0,149.954,1.000,1.000,median-serial-as-threads1
Insertion,parallel,random,50000,2,1,48.915,3.066,1.533,
Insertion,parallel,random,50000,2,2,50.166,2.989,1.495,
Insertion,parallel,random,50000,2,3,49.357,3.038,1.519,
Insertion,parallel,random,50000,2,4,48.350,3.101,1.551,
Insertion,parallel,random,50000,2,5,51.274,2.925,1.462,
Insertion,parallel-summary,random,50000,2,0,49.357,3.038,1.519,median
Insertion,parallel,random,50000,4,1,15.156,9.894,2.473,
Insertion,parallel,random,50000,4,2,15.550,9.644,2.411,
Insertion,parallel,random,50000,4,3,14.568,10.293,2.573,
Insertion,parallel,random,50000,4,4,14.740,10.173,2.543,
Insertion,parallel,random,50000,4,5,14.953,10.028,2.507,
Insertion,parallel-summary,random,50000,4,0,14.953,10.028,2.507,median
Insertion,parallel,random,50000,8,1,6.853,21.881,2.735,
Insertion,parallel,random,50000,8,2,6.493,23.095,2.887,
Insertion,parallel,random,50000,8,3,7.380,20.320,2.540,
Insertion,parallel,random,50000,8,4,8.679,17.278,2.160,
Insertion,parallel,random,50000,8,5,9.826,15.261,1.908,
Insertion,parallel-summary,random,50000,8,0,7.380,20.320,2.540,median
Insertion,serial,random,100000,1,1,604.316,,,
Insertion,serial,random,100000,1,2,596.590,,,
Insertion,serial,random,100000,1,3,595.096,,,
Insertion,serial,random,100000,1,4,601.948,,,
Insertion,serial,random,100000,1,5,594.999,,,
Insertion,serial-summary,random,100000,1,0,596.590,,,median
