algoritmo,versao,dataset,tamanho,threads,amostra,tempo_ms,speedup,eficiencia,obs
Insertion,serial,random,10000,1,1,9.898,,,
Insertion,serial,random,10000,1,2,10.168,,,
Insertion,serial,random,10000,1,3,10.044,,,
Insertion,serial,random,10000,1,4,9.978,,,
Insertion,serial,random,10000,1,5,11.574,,,
Insertion,serial-summary,random,10000,1,0,10.044,,,median
Insertion,parallel,random,10000,2,1,5.017,2.002,1.001,
Insertion,parallel,random,10000,2,2,4.740,2.119,1.060,
Insertion,parallel,random,10000,2,3,4.915,2.044,1.022,
Insertion,parallel,random,10000,2,4,5.305,1.893,0.947,
Insertion,parallel,random,10000,2,5,4.384,2.291,1.146,
Insertion,parallel,random,10000,4,1,3.450,2.911,0.728,
Insertion,parallel,random,10000,4,2,3.573,2.811,0.703,
Insertion,parallel,random,10000,4,3,3.659,2.745,0.686,
Insertion,parallel,random,10000,4,4,3.641,2.759,0.690,
Insertion,parallel,random,10000,4,5,3.241,3.099,0.775,
Insertion,parallel,random,10000,8,1,3.740,2.686,0.336,
Insertion,parallel,random,10000,8,2,2.055,4.888,0.611,
Insertion,parallel,random,10000,8,3,3.067,3.274,0.409,
Insertion,parallel,random,10000,8,4,2.550,3.939,0.492,
Insertion,parallel,random,10000,8,5,2.246,4.472,0.559,
Insertion,serial,random,50000,1,1,273.660,,,
Insertion,serial,random,50000,1,2,256.523,,,
Insertion,serial,random,50000,1,3,261.800,,,
Insertion,serial,random,50000,1,4,268.003,,,
Insertion,serial,random,50000,1,5,269.307,,,
Insertion,serial-summary,random,50000,1,0,268.003,,,median
Insertion,parallel,random,50000,2,1,118.778,2.256,1.128,
Insertion,parallel,random,50000,2,2,109.253,2.453,1.227,
Insertion,parallel,random,50000,2,3,102.753,2.608,1.304,
Insertion,parallel,random,50000,2,4,85.688,3.128,1.564,
Insertion,parallel,random,50000,2,5,87.851,3.051,1.525,
Insertion,parallel,random,50000,4,1,33.743,7.942,1.986,
Insertion,parallel,random,50000,4,2,40.083,6.686,1.672,
Insertion,parallel,random,50000,4,3,22.574,11.872,2.968,
Insertion,parallel,random,50000,4,4,23.943,11.193,2.798,
Insertion,parallel,random,50000,4,5,23.826,11.248,2.812,
Insertion,parallel,random,50000,8,1,13.711,19.546,2.443,
Insertion,parallel,random,50000,8,2,16.546,16.197,2.025,
Insertion,parallel,random,50000,8,3,14.664,18.276,2.285,
Insertion,parallel,random,50000,8,4,15.925,16.829,2.104,
Insertion,parallel,random,50000,8,5,15.485,17.307,2.163,
Insertion,serial,random,100000,1,1,784.068,,,
Insertion,serial,random,100000,1,2,789.529,,,
Insertion,serial,random,100000,1,3,776.029,,,
Insertion,serial,random,100000,1,4,771.781,,,
Insertion,serial,random,100000,1,5,770.760,,,
Insertion,serial-summary,random,100000,1,0,776.029,,,median
Insertion,parallel,random,100000,2,1,249.115,3.115,1.558,
Insertion,parallel,random,100000,2,2,267.308,2.903,1.452,
Insertion,parallel,random,100000,2,3,271.390,2.859,1.430,
Insertion,parallel,random,100000,2,4,315.195,2.462,1.231,
Insertion,parallel,random,100000,2,5,266.205,2.915,1.458,
Insertion,parallel,random,100000,4,1,67.028,11.578,2.894,
Insertion,parallel,random,100000,4,2,62.859,12.345,3.086,
Insertion,parallel,random,100000,4,3,92.489,8.391,2.098,
Insertion,parallel,random,100000,4,4,94.483,8.213,2.053,
Insertion,parallel,random,100000,4,5,108.082,7.180,1.795,
Insertion,parallel,random,100000,8,1,32.990,23.523,2.940,
Insertion,parallel,random,100000,8,2,32.587,23.814,2.977,
Insertion,parallel,random,100000,8,3,32.367,23.976,2.997,
Insertion,parallel,random,100000,8,4,29.468,26.334,3.292,
Insertion,parallel,random,100000,8,5,32.023,24.233,3.029,
Insertion,serial,reversed,10000,1,1,14.701,,,
Insertion,serial,reversed,10000,1,2,14.768,,,
Insertion,serial,reversed,10000,1,3,14.600,,,
Insertion,serial,reversed,10000,1,4,14.680,,,
Insertion,serial,reversed,10000,1,5,14.602,,,
Insertion,serial-summary,reversed,10000,1,0,14.680,,,median
Insertion,parallel,reversed,10000,2,1,5.616,2.614,1.307,
Insertion,parallel,reversed,10000,2,2,5.007,2.932,1.466,
Insertion,parallel,reversed,10000,2,3,6.094,2.409,1.205,
Insertion,parallel,reversed,10000,2,4,5.057,2.903,1.452,
Insertion,parallel,reversed,10000,2,5,4.595,3.195,1.597,
Insertion,parallel,reversed,10000,4,1,2.435,6.029,1.507,
Insertion,parallel,reversed,10000,4,2,2.392,6.137,1.534,
Insertion,parallel,reversed,10000,4,3,5.597,2.623,0.656,
Insertion,parallel,reversed,10000,4,4,2.196,6.686,1.672,
Insertion,parallel,reversed,10000,4,5,2.105,6.974,1.743,
Insertion,parallel,reversed,10000,8,1,1.600,9.176,1.147,
Insertion,parallel,reversed,10000,8,2,1.437,10.217,1.277,
Insertion,parallel,reversed,10000,8,3,1.737,8.450,1.056,
Insertion,parallel,reversed,10000,8,4,1.610,9.120,1.140,
Insertion,parallel,reversed,10000,8,5,1.695,8.662,1.083,
Insertion,serial,reversed,50000,1,1,392.200,,,
Insertion,serial,reversed,50000,1,2,397.208,,,
Insertion,serial,reversed,50000,1,3,394.247,,,
Insertion,serial,reversed,50000,1,4,390.850,,,
Insertion,serial,reversed,50000,1,5,405.018,,,
Insertion,serial-summary,reversed,50000,1,0,394.247,,,median
Insertion,parallel,reversed,50000,2,1,118.404,3.330,1.665,
Insertion,parallel,reversed,50000,2,2,111.657,3.531,1.765,
Insertion,parallel,reversed,50000,2,3,103.516,3.809,1.904,
Insertion,parallel,reversed,50000,2,4,141.063,2.795,1.397,
Insertion,parallel,reversed,50000,2,5,132.634,2.972,1.486,
Insertion,parallel,reversed,50000,4,1,26.160,15.071,3.768,
Insertion,parallel,reversed,50000,4,2,25.242,15.619,3.905,
Insertion,parallel,reversed,50000,4,3,33.784,11.670,2.917,
Insertion,parallel,reversed,50000,4,4,28.081,14.039,3.510,
Insertion,parallel,reversed,50000,4,5,25.485,15.470,3.868,
Insertion,parallel,reversed,50000,8,1,15.138,26.044,3.255,
Insertion,parallel,reversed,50000,8,2,14.197,27.771,3.471,
Insertion,parallel,reversed,50000,8,3,14.584,27.033,3.379,
Insertion,parallel,reversed,50000,8,4,14.208,27.749,3.469,
Insertion,parallel,reversed,50000,8,5,13.756,28.661,3.583,
Insertion,serial,reversed,100000,1,1,1568.488,,,
Insertion,serial,reversed,100000,1,2,1567.942,,,
Insertion,serial,reversed,100000,1,3,1563.102,,,
Insertion,serial,reversed,100000,1,4,2196.918,,,
Insertion,serial,reversed,100000,1,5,1575.809,,,
Insertion,serial-summary,reversed,100000,1,0,1568.488,,,median
Insertion,parallel,reversed,100000,2,1,429.488,3.652,1.826,
Insertion,parallel,reversed,100000,2,2,470.940,3.331,1.665,
Insertion,parallel,reversed,100000,2,3,495.817,3.163,1.582,
Insertion,parallel,reversed,100000,2,4,502.122,3.124,1.562,
Insertion,parallel,reversed,100000,2,5,440.683,3.559,1.780,
Insertion,parallel,reversed,100000,4,1,150.409,10.428,2.607,
Insertion,parallel,reversed,100000,4,2,159.952,9.806,2.451,
Insertion,parallel,reversed,100000,4,3,137.000,11.449,2.862,
Insertion,parallel,reversed,100000,4,4,139.557,11.239,2.810,
Insertion,parallel,reversed,100000,4,5,141.270,11.103,2.776,
Insertion,parallel,reversed,100000,8,1,47.998,32.678,4.085,
Insertion,parallel,reversed,100000,8,2,49.077,31.960,3.995,
